Ref	Sample	Mutation	lagging_ts	leading_uts	ts_lagging_wg	uts_leading_wg	chisq_pvalue	P_adjust_chisq	flag_chisq	binom_pvalue	P_adjust_binom	flag_binom
C_89	MSH3_KO5_d3	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_U2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POD478_2	[InsC]89	1	0	8884	8612	0.324834065008449	0.789703279157356		1	1	
C_89	POD478_1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_L424V_d2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_P8_2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	SETD2_KO15_d3	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_7_3	[DelC]89	6	11	8884	8612	0.20162627701368	0.789703279157356		0.231464492982578	1	
C_89	RPE1_c2_OGG1_11_1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_L424V_d2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_P8_5	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	SETD2_KO15_d3	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_7_3	[InsC]89	4	8	8884	8612	0.226777753006694	0.789703279157356		0.259978431537308	1	
C_89	RPE1_c2_OGG1_11_2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_L424V_d3	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_P8_5	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	SETD2_KO19_d3	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_9_2	[DelC]89	12	13	8884	8612	0.781192282900434	1		0.843065455993296	1	
C_89	RPE1_c2_OGG1_11_2	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_L424V_d3	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_U1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_7_1	[DelC]89	15	9	8884	8612	0.250670568955815	0.789703279157356		0.308867743259217	1	
C_89	SETD2_KO19_d3	[InsC]89	0	1	8884	8612	0.309786960142265	0.789703279157356		0.492226794695931	1	
C_89	RPE1_c2_MSH2_9_2	[InsC]89	4	10	8884	8612	0.0965252779967777	0.62610991133045		0.113347049775036	0.818056533488218	
C_89	RPE1_c2_OGG1_1110	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_P8_1	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_U1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_7_1	[InsC]89	5	7	8884	8612	0.527856868464694	0.982059290166872		0.575563671951321	1	
C_89	SETD2_KO19_d4	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_9_3	[DelC]89	12	8	8884	8612	0.409370890787279	0.873324567012862		0.504488977326868	1	
C_89	RPE1_c2_OGG1_1110	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	POLE_P8_1	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_WT_U2	[DelC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_7_2	[DelC]89	11	4	8884	8612	0.0805692921119006	0.560482032082787		0.11913367232544	0.818056533488218	
C_89	SETD2_KO19_d4	[InsC]89	0	0	8884	8612	1	1		1	1	
C_89	RPE1_c2_MSH2_9_3	[InsC]89	8	4	8884	8612	0.27090568877489	0.789703279157356		0.388395999922138	1	
C_89	POLE_P8_2	[DelC]89	0	1	8884	8612	0.309786960142265	0.789703279157356		0.492226794695931	1	
C_89	RPE1_c2_MSH2_7_2	[InsC]89	6	9	8884	8612	0.403769194983364	0.869099612520245		0.448159124216021	1	
C_89	RPE1_c2_OGG1_11_1	[DelC]89	0	0	8884	8612	1	1		1	1	
T_234	MLH_A	[InsT]234	28	24	137779025	133549777	0.658233596274665	1		0.679735311248823	1	
T_234	MSH3_KO5_d3	[DelT]234	3	9	137779025	133549777	0.0740566273437448	0.560482032082787		0.0876921934055518	0.751647372047586	
T_234	POD478_2	[InsT]234	56	50	137779025	133549777	0.672774606466826	1		0.698394623836135	1	
T_234	MLH1_2	[DelT]234	63	62	137779025	133549777	0.93239062852075	1		1	1	
T_234	DheML6d1	[DelT]234	681	504	137779025	133549777	4.10929365600638e-06	0.000164371746240255	***	4.29343450193401e-06	0.000171737380077361	***
T_234	MSH3_KO5_d3	[InsT]234	0	2	137779025	133549777	0.150879550490932	0.758592773655001		0.242267155262246	1	
T_234	DheMS6d3	[InsT]234	654	660	137779025	133549777	0.46500433120595	0.925315050367197		0.473217539045248	1	
T_234	POD689_1	[DelT]234	2	1	137779025	133549777	0.582031766844142	1		1	1	
T_234	EXO1_KO22_d2	[DelT]234	2	1	137779025	133549777	0.582031766844142	1		1	1	
T_234	MLH1_2	[InsT]234	27	21	137779025	133549777	0.448375299197568	0.911949761079799		0.473473243460351	1	
T_234	DheML6d1	[InsT]234	525	485	137779025	133549777	0.445249743927902	0.909446285469757		0.450229984738149	1	
T_234	MSH3_KO5_d4	[DelT]234	3	3	137779025	133549777	0.969539980644968	1		1	1	
