IndelType	Indel
"Ins3:U3:R(5,9)"	"Ins(2,):R(0,9)"
Ins4:U1:R1	"Ins(2,):R(0,9)"
Ins4:U1:R2	"Ins(2,):R(0,9)"
Ins4:U1:R3	"Ins(2,):R(0,9)"
Ins4:U1:R4	"Ins(2,):R(0,9)"
"Ins4:U1:R(5,9)"	"Ins(2,):R(0,9)"
Ins4:U2:R1	"Ins(2,):R(0,9)"
Ins4:U2:R2	"Ins(2,):R(0,9)"
Ins4:U2:R3	"Ins(2,):R(0,9)"
Ins4:U2:R4	"Ins(2,):R(0,9)"
"Ins4:U2:R(5,9)"	"Ins(2,):R(0,9)"
Ins4:U4:R1	"Ins(2,):R(0,9)"
Ins4:U4:R2	"Ins(2,):R(0,9)"
Ins4:U4:R3	"Ins(2,):R(0,9)"
Ins4:U4:R4	"Ins(2,):R(0,9)"
"Ins4:U4:R(5,9)"	"Ins(2,):R(0,9)"
"Ins(5,):U1:R1"	"Ins(2,):R(0,9)"
"Ins(5,):U1:R2"	"Ins(2,):R(0,9)"
"Ins(5,):U1:R3"	"Ins(2,):R(0,9)"
"Ins(5,):U1:R4"	"Ins(2,):R(0,9)"
"Ins(5,):U1:R(5,9)"	"Ins(2,):R(0,9)"
"Ins(5,):U2:R1"	"Ins(2,):R(0,9)"
"Ins(5,):U2:R2"	"Ins(2,):R(0,9)"
"Ins(5,):U2:R3"	"Ins(2,):R(0,9)"
"Ins(5,):U2:R4"	"Ins(2,):R(0,9)"
"Ins(5,):U2:R(5,9)"	"Ins(2,):R(0,9)"
"Ins(5,):U(3,):R1"	"Ins(2,):R(0,9)"
"Ins(5,):U(3,):R2"	"Ins(2,):R(0,9)"
"Ins(5,):U(3,):R3"	"Ins(2,):R(0,9)"
"Ins(5,):U(3,):R4"	"Ins(2,):R(0,9)"
"Ins(5,):U(3,):R(5,9)"	"Ins(2,):R(0,9)"
"Complex(0,1)"	Complex
"Complex(2,5)"	Complex
"Complex(6,10)"	Complex
"Complex(11,20)"	Complex
"Complex(21,)"	Complex
